Residencial,Alice Barbosa, NORTE,"-16.59556161345997, -49.26951375329482"
Residencial,Antonio Barbosa, NORTE,"-16.590297590661436, -49.26761732333995"
Residencial,Antonio Carlos Pires, NORTE,"-16.54352813261236, -49.26930435841488"
Setor,Asa Branca, NORTE,"-16.608753799478322, -49.20941552370306"
Vila,Atalaia, NORTE,"-16.588667737951425, -49.25158979488678"
Sitios de recreio,Caraíbas, NORTE,"-16.562451963648172, -49.27987490624958"
Residencial,Felicidade, NORTE,"-16.6071046361371, -49.224650421765034"
Setor,Gentil Meireles, NORTE,"-16.648424005534835, -49.28561212544411"
Setor,Goiânia 2, NORTE,"-16.627316783663808, -49.250409660109284"
,Granja Cruzeiro do Sul, NORTE,"-16.638576725484295, -49.28232919986705"
Residencial,Guarema, NORTE,"-16.637372692732924, -49.28597158636124"
Residencial,Hugo de Moraes, NORTE,"-16.634868712158237, -49.292306110813435"
Residencial,Humaita, NORTE,"-16.623446344620728, -49.27681344356398"
Residencial Privê,Itanhangã, NORTE,"-16.573278821485264, -49.27540957315869"
Vila,Vila Itatiaia, NORTE,"-16.603141002978465, -49.254276252729504"
Residencial,Itamaracá, NORTE,"-16.647646293811068, -49.30063025802252"
Setor,Setor Jaó, NORTE,"-16.644418408832898, -49.22934017440645"
,Jardim Balneario Meia Ponte, NORTE,"-16.615885521915686, -49.29811247103396"
,Jardim Bom Jesus, NORTE,"-16.61583018986681, -49.26980249431521"
,Jardim Diamantina, NORTE,"-16.63378399972179, -49.275849024996425"
,Jardim Gramado, NORTE,"-16.63493642917518, -49.30043358283791"
,Jardim Guanabara, NORTE,"-16.620369578111337, -49.21779895877634"
,Jardim Guanabara I, NORTE,"-16.620173194376886, -49.217359131062764"
,Jardim Guanabara II, NORTE,"-16.612665309935245, -49.214641534571214"
,Jardim Guanabara III, NORTE,"-16.611093950237215, -49.21957359590023"
,Jardim Guanabara IV, NORTE,"-16.608464399047623, -49.20706505624402"
,Conjunto Parque dos Eucaliptos, NORTE,"-16.609413821042107, -49.209743649891074"
,Jardim Ipê, NORTE,"-16.62388769301036, -49.27466825340375"
,Vila Jardim Pompeia, NORTE,"-16.61080037823938, -49.2436416868234"
,Jardim Santa Cecilia, NORTE,"-16.769287316732797, -49.25635413293673"
Residencial,Joao Paulo II, NORTE,"-16.60351344813861, -49.21441685603326"
Residencial,Jose Viandeli, NORTE,"-16.620314750796755, -49.28204325597738"
Residencial,Licardino Ney, NORTE,"-16.614890047532178, -49.28728881848475"
Sitios de recreio,Mansoes do Campus, NORTE,"-16.571268947050424, -49.29558256548822"
Loteamento,Mansoes Goianas, NORTE,"-16.62524892704734, -49.27816096123659"
Chácaras,Maria Dilce, NORTE,"-16.622557529662952, -49.30698124135792"
Residencial,Maria Lourença, NORTE,"-16.624515925691025, -49.295827608274145"
Setor,Maria Rosa, NORTE,"-16.616849767903382, -49.2288880488799"
Residencial,Morada do Bosque, NORTE,"-16.594603792328286, -49.260111422180735"
Residencial,Morada do Ipe, NORTE,"-16.590702524511077, -49.262261399449294"
Residencial,Morumbi, NORTE,"-16.646729178971437, -49.27815716648027"
Loteamento,Morada dos Sonhos, NORTE,"-16.599374335951445, -49.25225973520025"
,Sitio de Recreio Paraiso Tropical, NORTE,"-16.518564609323374, -49.25501901550144"
Residencial,Nossa Morada, NORTE,"-16.584525947146556, -49.257978647730965"
Residencial,Orlando de Morais, NORTE,"-16.551426756458994, -49.27031280225145"
,Panorama Parque, NORTE,"-16.64241310018009, -49.27697585965426"
,Parque Balneario, NORTE,"-16.61566178564673, -49.284542981978724"
,Parque das Flores, NORTE,"-16.626676324422995, -49.29113739487433"
,Parque das Nações, NORTE,"-16.620881915597643, -49.28249231502379"
Condomínio,Parque dos Cisnes, NORTE,"-16.576811691434024, -49.2408799016129"
Setor,Perim, NORTE,"-16.650075753079356, -49.286967697171995"
Sitios de recreio,Pindorama, NORTE,"-16.73203790737923, -49.19876366176242"
Residencial,Portal da Mata, NORTE,"-16.465828296498202, -49.309430830415934"
Setor,Progresso, NORTE,"-16.647896533095807, -49.292961962504044"
,Residencial Balneario, NORTE,"-16.615828096787514, -49.291049818388714"
,Residencial das Acacias, NORTE,"-16.625204152461112, -49.298283893751695"
,Residencial dos Ipes, NORTE,"-16.595830444512984, -49.254910193472554"
,Residencial Guanabara, NORTE,"-16.610240544709864, -49.228180880412744"
,Residencial Italia, NORTE,"-16.62145235758606, -49.294928198952"
,Santa Genoveva, NORTE,"-16.63563673381632, -49.237185482371565"
Sitios de recreio,Sao Geraldo, NORTE,"-16.594274868107863, -49.26366868949665"
,Vila Jardim Sao Judas Tadeu, NORTE,"-16.61827272615489, -49.24779205171307"
Setor,Sevene, NORTE,"-16.636697969812726, -49.29126897034722"
,Shangri-la, NORTE,"-16.588308678448865, -49.26564015839865"
,Setor Urias Magalhaes, NORTE,"-16.6343782503277, -49.26326513575079"
,Vale da Serra, NORTE,"-16.605319027127358, -49.20943162436799"
,Residencial Bela Goiania, NORTE,"-16.586944636598467, -49.21190970527271"
,Residencial Elizene Santana, NORTE,"-16.594680591219106, -49.214908588517204"
,Residencial Vale dos Sonhos, NORTE,"-16.59723716914569, -49.207329694779325"
,Vila Clemente, NORTE,"-16.649840401025564, -49.29048988350978"
,Residencial Elza Fronza, NORTE,"-16.567342659959028, -49.282439635754685"
,Vila Cristina, NORTE,"-16.640494124255902, -49.2941703773355"
,Vila Industrial Pedro Abraao, NORTE,"-16.63951718152336, -49.304055614789405"
,Vila Militar, NORTE,"-16.622664714065348, -49.22591308160477"
,Vila Nossa Senhora Aparecida, NORTE,"-16.64388002115461, -49.27255691749373"
,Vila Roriz, NORTE,"-16.63882891556446, -49.26586012672444"
,Vila Santa Cruz, NORTE,"-16.611203005955037, -49.20976902991773"
,Chacaras de Recreio Samambaia, NORTE,"-16.58377355740215, -49.28644184248298"
,Estancia Vista Alegre, NORTE,"-16.587431502106796, -49.19512888072024"
,Village Atalaia, NORTE,"-16.59239604891475, -49.25841579773043"
,Setor Aeroporto, CENTRO OESTE,"-16.671628988664438, -49.26904250611904"
,Aeroviario, CENTRO OESTE,"-16.665142127139234, -49.3051602145475"
,Setor Campinas, CENTRO OESTE,"-16.660783341146267, -49.29273140601706"
